,word ranking,religion,society,education,business,news,sports,comedy,health,arts,music
0,1,peter,upbeat,upbeat,um,uh,race,bro,um,um,blank_audio
1,2,david,shit,students,estate,um,quarterback,laughter,patients,upbeat,album
2,3,israel,uh,um,data,upbeat,golf,upbeat,upbeat,uh,um
3,4,language,fucking,language,customer,shit,wrestling,laughs,dr,art,band
4,5,upbeat,police,black,women,china,hockey,wanna,anxiety,language,shit
5,6,foreign,language,energy,leadership,season,fucking,police,diet,foreign,uh
6,7,um,wanna,cause,uh,book,shit,comedy,wanna,water,sort
7,8,wanna,fuck,relationship,wanna,lockdown,nhl,ain,fitness,women,radio
8,9,episode,foreign,children,property,county,lebron,ok,black,movie,record
9,10,mother,covid,women,cause,fucking,upbeat,games,uh,cause,fucking
10,11,woman,song,wanna,digital,economy,soccer,john,gym,character,cause
11,12,psalm,child,food,organization,radio,tournament,mask,patient,song,silence
12,13,wisdom,mother,foreign,leaders,car,women,yo,fear,mother,black
13,14,mercy,dad,video,food,women,clubs,sex,shit,film,guitar
14,15,moses,water,parents,energy,data,owners,bitch,coach,girl,video
15,16,gift,ain,journey,training,market,receiver,alright,mom,series,artists
16,17,suffering,movie,college,crisis,folks,wanna,blah,fat,video,rock
17,18,season,college,fear,income,sports,offensive,covid,team,game,wanna
18,19,control,energy,control,price,industry,goals,character,19,shit,track
19,20,women,thoughts,online,employees,party,bowl,joe,child,children,ain
